de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA15,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA16,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA17,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG18.PA6,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG18.PA16,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG19.PA3,66_wetlands_wetland_ramsar_water,0.7088905913757343,66,0,0.0,wetlands,wetland,ramsar,water,convention,pollution,loss,wise,freshwater,in
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG19.PA7,31_disaster_risk_disasters_hazards,0.8592756179272217,31,0,0.0,disaster,risk,disasters,hazards,vulnerability,events,floods,risks,natural,hazard
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG19.PA11,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG19.PA15,4_fisheries_fishing_aquaculture_marine,0.946213635630832,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG20.PA15,46_pathways_sustainability_sustainable_goals,0.8964064836234062,46,0,0.0,pathways,sustainability,sustainable,goals,development,transformation,transition,narratives,innovation,economy
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG20.PA17,46_pathways_sustainability_sustainable_goals,0.9121689340614477,46,0,0.0,pathways,sustainability,sustainable,goals,development,transformation,transition,narratives,innovation,economy
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG20.PA23,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG20.PA26,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG21.PA5,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG21.PA8,3_water_groundwater_resources_irrigation,0.509107984619253,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG22.PA7,20_agriculture_farming_sustainable_agricultural,1.0,20,0,0.0,agriculture,farming,sustainable,agricultural,intensification,practices,farmers,see,food,production
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG22.PA11,10_scenarios_decision_policy_scenario,1.0,10,0,0.0,scenarios,decision,policy,scenario,models,futures,exploratory,making,archetypes,options
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG22.PA16,6_wind_solar_offshore_impacts,0.8996770304619333,6,0,0.0,wind,solar,offshore,impacts,turbines,energy,mitigation,project,farm,construction
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG23.PA10,3_water_groundwater_resources_irrigation,0.6058437766066397,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
