f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG30.PA15,25_ice_sea_mass_sheet,0.44567343557460837,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG30.PA20,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG30.PA23,77_sea_ocean_level_rise,0.9385867340968103,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG30.PA29,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG33.PA8,47_supplementary_drought_inconsistent_confidence,0.49507137586451727,47,0,0.0,supplementary,drought,inconsistent,confidence,moisture,material,cdd,spei,drying,chapter
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG33.PA26,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG33.PA28,77_sea_ocean_level_rise,0.9171661731286932,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG46.PA8,10_scenarios_decision_policy_scenario,0.6676887235444797,10,0,0.0,scenarios,decision,policy,scenario,models,futures,exploratory,making,archetypes,options
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG52.PA18,25_ice_sea_mass_sheet,0.46956587651950393,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG52.PA21,25_ice_sea_mass_sheet,0.4986924921915111,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG52.PA28,25_ice_sea_mass_sheet,0.5702387335554522,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG52.PA30,25_ice_sea_mass_sheet,0.3632823062947983,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG56.PA38,77_sea_ocean_level_rise,0.90097911563459,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG59.PA38,25_ice_sea_mass_sheet,0.5043786316422443,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG63.PA30,39_carbon_co2_vegetation_net,0.7599550295319665,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG83.PA2,25_ice_sea_mass_sheet,0.302399879361283,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG83.PA9,77_sea_ocean_level_rise,0.9491721389651291,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG83.PA20,47_supplementary_drought_inconsistent_confidence,0.6113463918801612,47,0,0.0,supplementary,drought,inconsistent,confidence,moisture,material,cdd,spei,drying,chapter
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG84.PA27,25_ice_sea_mass_sheet,0.47431479905415047,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA3,25_ice_sea_mass_sheet,0.3931428881710953,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA5,25_ice_sea_mass_sheet,0.897172576393069,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA14,25_ice_sea_mass_sheet,0.8392968753256593,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA16,25_ice_sea_mass_sheet,0.8700131440390239,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA21,25_ice_sea_mass_sheet,0.39440527545318155,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA26,25_ice_sea_mass_sheet,1.0,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA32,130_permafrost_thaw_arctic_carbon,1.0,130,0,0.0,permafrost,thaw,arctic,carbon,warming,frozen,thawing,ground,extent,snow
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA34,25_ice_sea_mass_sheet,0.7939594235835157,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA39,25_ice_sea_mass_sheet,0.38458380981441315,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA42,25_ice_sea_mass_sheet,0.38896656983888894,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG85.PA46,25_ice_sea_mass_sheet,0.5511221171274637,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA5,25_ice_sea_mass_sheet,0.712949226639867,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA7,25_ice_sea_mass_sheet,0.5024674943519001,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA9,25_ice_sea_mass_sheet,1.0,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA10,25_ice_sea_mass_sheet,0.8120216045178889,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA11,25_ice_sea_mass_sheet,0.6561357594848699,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG86.PA26,77_sea_ocean_level_rise,0.9415279392867577,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG87.PA16,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG87.PA34,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG87.PA40,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG87.PA43,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG87.PA50,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG90.PA18,39_carbon_co2_vegetation_net,0.9770199660543865,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG91.PA37,39_carbon_co2_vegetation_net,1.0,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG91.PA42,39_carbon_co2_vegetation_net,1.0,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG100.PA19,77_sea_ocean_level_rise,0.9491721389651291,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG102.PA50,130_permafrost_thaw_arctic_carbon,1.0,130,0,0.0,permafrost,thaw,arctic,carbon,warming,frozen,thawing,ground,extent,snow
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG103.PA2,130_permafrost_thaw_arctic_carbon,1.0,130,0,0.0,permafrost,thaw,arctic,carbon,warming,frozen,thawing,ground,extent,snow
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG103.PA6,130_permafrost_thaw_arctic_carbon,1.0,130,0,0.0,permafrost,thaw,arctic,carbon,warming,frozen,thawing,ground,extent,snow
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG106.PA9,130_permafrost_thaw_arctic_carbon,1.0,130,0,0.0,permafrost,thaw,arctic,carbon,warming,frozen,thawing,ground,extent,snow
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG113.PA40,25_ice_sea_mass_sheet,0.6848205002091723,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG116.PA28,47_supplementary_drought_inconsistent_confidence,0.5032590273064016,47,0,0.0,supplementary,drought,inconsistent,confidence,moisture,material,cdd,spei,drying,chapter
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG124.PA4,86_monsoon_precipitation_rainfall_summer,0.8475302762249163,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG125.PA13,86_monsoon_precipitation_rainfall_summer,0.9309128042545135,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG125.PA22,86_monsoon_precipitation_rainfall_summer,1.0,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG125.PA30,86_monsoon_precipitation_rainfall_summer,1.0,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG125.PA42,86_monsoon_precipitation_rainfall_summer,1.0,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG126.PA2,86_monsoon_precipitation_rainfall_summer,0.9189184359662764,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG126.PA10,86_monsoon_precipitation_rainfall_summer,0.8451971692891695,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG126.PA16,86_monsoon_precipitation_rainfall_summer,1.0,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG126.PA24,86_monsoon_precipitation_rainfall_summer,1.0,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG126.PA34,86_monsoon_precipitation_rainfall_summer,0.9157601159752016,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG130.PA52,25_ice_sea_mass_sheet,0.35171900488858365,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG131.PA2,25_ice_sea_mass_sheet,0.3069180898121251,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG131.PA12,77_sea_ocean_level_rise,0.9864504192437683,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG132.PA47,25_ice_sea_mass_sheet,0.38294715677140345,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG132.PA50,77_sea_ocean_level_rise,1.0,77,0,0.0,sea,ocean,level,rise,heat,ohc,mean,doi,change,srocc
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG133.PA13,86_monsoon_precipitation_rainfall_summer,0.9017192803209265,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG134.PA10,86_monsoon_precipitation_rainfall_summer,0.8018789550651019,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG134.PA17,86_monsoon_precipitation_rainfall_summer,0.8346212217336962,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG134.PA23,86_monsoon_precipitation_rainfall_summer,0.8236834591664001,86,0,0.0,monsoon,precipitation,rainfall,summer,over,projected,changes,cmip5,monsoons,asian
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG134.PA51,25_ice_sea_mass_sheet,0.31173948132495105,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG135.PA32,25_ice_sea_mass_sheet,0.3299231619852505,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG135.PA55,25_ice_sea_mass_sheet,0.32767557882938664,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
f4c39366d9f2a9faa397bd163ba881610ca1a621c20be37e5725ef7bded3a38f.PG136.PA2,25_ice_sea_mass_sheet,0.39395660463816107,25,0,0.0,ice,sea,mass,sheet,glacier,antarctic,greenland,arctic,glaciers,loss
